Region,Sub Region,Country,Year,download,Indicator,Indicator Name,Numero di record,Value
Europe,Northern Europe,Estonia,2011,,7.1,Total detected victims,1,61
Europe,Northern Europe,Finland,2011,,7.1,Total detected victims,1,56
Europe,Northern Europe,Ireland,2011,,7.1,Total detected victims,1,57
Europe,Northern Europe,Latvia,2011,,7.1,Total detected victims,1,11
Europe,Northern Europe,Lithuania,2011,,7.1,Total detected victims,1,22
Europe,Northern Europe,Sweden,2011,,7.1,Total detected victims,1,10
Europe,Northern Europe,United Kingdom,2011,,7.1,Total detected victims,1,482
Europe,Southern Europe,Greece,2011,,7.1,Total detected victims,1,97
Europe,Southern Europe,Italy,2011,,7.1,Total detected victims,1,91
Europe,Southern Europe,Malta,2011,,7.1,Total detected victims,1,3
Europe,Southern Europe,Portugal,2011,,7.1,Total detected victims,1,33
Europe,Southern Europe,Slovenia,2011,,7.1,Total detected victims,1,18
Europe,Western Europe,Germany,2011,,7.1,Total detected victims,1,672
Europe,Western Europe,Netherlands,2011,,7.1,Total detected victims,1,1222
Europe,Eastern Europe,Hungary,2012,,7.1,Total detected victims,1,57
Europe,Eastern Europe,Poland,2012,,7.1,Total detected victims,1,230
Europe,Eastern Europe,Romania,2012,,7.1,Total detected victims,1,976
Europe,Eastern Europe,Slovakia,2012,,7.1,Total detected victims,1,23
Europe,Northern Europe,Estonia,2012,,7.1,Total detected victims,1,23
Europe,Northern Europe,Finland,2012,,7.1,Total detected victims,1,53
Europe,Northern Europe,Ireland,2012,,7.1,Total detected victims,1,48
Europe,Northern Europe,Latvia,2012,,7.1,Total detected victims,1,25
Europe,Northern Europe,Lithuania,2012,,7.1,Total detected victims,1,14
Europe,Northern Europe,Sweden,2012,,7.1,Total detected victims,1,33
Europe,Northern Europe,United Kingdom,2012,,7.1,Total detected victims,1,555
Europe,Southern Europe,Greece,2012,,7.1,Total detected victims,1,109
Europe,Southern Europe,Italy,2012,,7.1,Total detected victims,1,435
Europe,Southern Europe,Malta,2012,,7.1,Total detected victims,1,1
Europe,Southern Europe,Portugal,2012,,7.1,Total detected victims,1,13
Europe,Southern Europe,Slovenia,2012,,7.1,Total detected victims,1,15
Europe,Southern Europe,Spain,2012,,7.1,Total detected victims,1,495
Europe,Western Europe,Germany,2012,,7.1,Total detected victims,1,626
Europe,Western Europe,Netherlands,2012,,7.1,Total detected victims,1,1711
Europe,Eastern Europe,Poland,2013,,7.1,Total detected victims,1,135
Europe,Eastern Europe,Romania,2013,,7.1,Total detected victims,1,896
Europe,Eastern Europe,Slovakia,2013,,7.1,Total detected victims,1,30
Europe,Northern Europe,Estonia,2013,,7.1,Total detected victims,1,24
Europe,Northern Europe,Finland,2013,,7.1,Total detected victims,1,56
Europe,Northern Europe,Ireland,2013,,7.1,Total detected victims,1,44
Europe,Northern Europe,Latvia,2013,,7.1,Total detected victims,1,22
Europe,Northern Europe,Sweden,2013,,7.1,Total detected victims,1,2
Europe,Northern Europe,United Kingdom,2013,,7.1,Total detected victims,1,816
Europe,Southern Europe,Greece,2013,,7.1,Total detected victims,1,102
Europe,Southern Europe,Italy,2013,,7.1,Total detected victims,1,593
Europe,Southern Europe,Portugal,2013,,7.1,Total detected victims,1,144
Europe,Southern Europe,Slovenia,2013,,7.1,Total detected victims,1,37
Europe,Southern Europe,Spain,2013,,7.1,Total detected victims,1,244
Europe,Western Europe,Germany,2013,,7.1,Total detected victims,1,603
Europe,Western Europe,Netherlands,2013,,7.1,Total detected victims,1,1434
Europe,Eastern Europe,Hungary,2014,,7.1,Total detected victims,1,294
Europe,Eastern Europe,Poland,2014,,7.1,Total detected victims,1,201
Europe,Eastern Europe,Romania,2014,,7.1,Total detected victims,1,831
Europe,Eastern Europe,Slovakia,2014,,7.1,Total detected victims,1,34
Europe,Northern Europe,Estonia,2014,,7.1,Total detected victims,1,2
Europe,Northern Europe,Finland,2014,,7.1,Total detected victims,1,50
Europe,Northern Europe,Ireland,2014,,7.1,Total detected victims,1,46
Europe,Northern Europe,Latvia,2014,,7.1,Total detected victims,1,34
Europe,Northern Europe,Lithuania,2014,,7.1,Total detected victims,1,47
Europe,Northern Europe,Sweden,2014,,7.1,Total detected victims,1,4
Europe,Northern Europe,United Kingdom,2014,,7.1,Total detected victims,1,543
Europe,Southern Europe,Greece,2014,,7.1,Total detected victims,1,78
Europe,Southern Europe,Italy,2014,,7.1,Total detected victims,1,597
Europe,Southern Europe,Malta,2014,,7.1,Total detected victims,1,20
Europe,Southern Europe,Portugal,2014,,7.1,Total detected victims,1,33
Europe,Southern Europe,Slovenia,2014,,7.1,Total detected victims,1,5
Europe,Southern Europe,Spain,2014,,7.1,Total detected victims,1,153
Europe,Western Europe,Germany,2014,,7.1,Total detected victims,1,583
Europe,Western Europe,Luxembourg,2014,,7.1,Total detected victims,1,12
Europe,Western Europe,Netherlands,2014,,7.1,Total detected victims,1,1256
Europe,Eastern Europe,Hungary,2015,,7.1,Total detected victims,1,507
Europe,Eastern Europe,Poland,2015,,7.1,Total detected victims,1,173
Europe,Eastern Europe,Romania,2015,,7.1,Total detected victims,1,649
Europe,Eastern Europe,Slovakia,2015,,7.1,Total detected victims,1,25
Europe,Northern Europe,Estonia,2015,,7.1,Total detected victims,1,13
Europe,Northern Europe,Finland,2015,,7.1,Total detected victims,1,52
Europe,Northern Europe,Ireland,2015,,7.1,Total detected victims,1,78
Europe,Northern Europe,Latvia,2015,,7.1,Total detected victims,1,10
Europe,Northern Europe,Lithuania,2015,,7.1,Total detected victims,1,62
Europe,Northern Europe,Sweden,2015,,7.1,Total detected victims,1,2
Europe,Northern Europe,United Kingdom,2015,,7.1,Total detected victims,1,596
Europe,Southern Europe,Greece,2015,,7.1,Total detected victims,1,57
Europe,Southern Europe,Italy,2015,,7.1,Total detected victims,1,609
Europe,Southern Europe,Malta,2015,,7.1,Total detected victims,1,3
Europe,Southern Europe,Slovenia,2015,,7.1,Total detected victims,1,47
Europe,Southern Europe,Spain,2015,,7.1,Total detected victims,1,267
Europe,Western Europe,France,2015,,7.1,Total detected victims,1,1432
Europe,Western Europe,Germany,2015,,7.1,Total detected victims,1,470
Europe,Western Europe,Luxembourg,2015,,7.1,Total detected victims,1,7
Europe,Western Europe,Netherlands,2015,,7.1,Total detected victims,1,1150
Europe,Eastern Europe,Hungary,2016,,7.1,Total detected victims,1,489
Europe,Eastern Europe,Poland,2016,,7.1,Total detected victims,1,199
Europe,Eastern Europe,Romania,2016,,7.1,Total detected victims,1,474
Europe,Eastern Europe,Slovakia,2016,,7.1,Total detected victims,1,45
Europe,Northern Europe,Estonia,2016,,7.1,Total detected victims,1,10
Europe,Northern Europe,Finland,2016,,7.1,Total detected victims,1,130
Europe,Northern Europe,Ireland,2016,,7.1,Total detected victims,1,95
Europe,Northern Europe,Latvia,2016,,7.1,Total detected victims,1,17
Europe,Northern Europe,Lithuania,2016,,7.1,Total detected victims,1,45
Europe,Northern Europe,Sweden,2016,,7.1,Total detected victims,1,2
Europe,Northern Europe,United Kingdom,2016,,7.1,Total detected victims,1,601
Europe,Southern Europe,Greece,2016,,7.1,Total detected victims,1,62
Europe,Southern Europe,Italy,2016,,7.1,Total detected victims,1,663
Europe,Southern Europe,Malta,2016,,7.1,Total detected victims,1,31
Europe,Southern Europe,Portugal,2016,,7.1,Total detected victims,1,132
Europe,Southern Europe,Slovenia,2016,,7.1,Total detected victims,1,27
Europe,Southern Europe,Spain,2016,,7.1,Total detected victims,1,193
Europe,Western Europe,France,2016,,7.1,Total detected victims,1,1516
Europe,Western Europe,Germany,2016,,7.1,Total detected victims,1,536
Europe,Western Europe,Luxembourg,2016,,7.1,Total detected victims,1,20
